居住地_省,居住地_市,就业地_省,就业地_市,count
上海市,上海市,浙江省,丽水市,203
安徽省,亳州市,浙江省,丽水市,22
安徽省,六安市,浙江省,丽水市,7
江苏省,南京市,浙江省,丽水市,28
江苏省,南通市,浙江省,丽水市,28
浙江省,台州市,浙江省,丽水市,217
安徽省,合肥市,浙江省,丽水市,30
浙江省,嘉兴市,浙江省,丽水市,236
浙江省,宁波市,浙江省,丽水市,281
安徽省,安庆市,浙江省,丽水市,12
安徽省,宣城市,浙江省,丽水市,8
安徽省,宿州市,浙江省,丽水市,16
江苏省,宿迁市,浙江省,丽水市,5
江苏省,常州市,浙江省,丽水市,30
江苏省,徐州市,浙江省,丽水市,19
江苏省,扬州市,浙江省,丽水市,13
江苏省,无锡市,浙江省,丽水市,34
浙江省,杭州市,浙江省,丽水市,751
安徽省,池州市,浙江省,丽水市,8
江苏省,泰州市,浙江省,丽水市,5
安徽省,淮北市,浙江省,丽水市,7
安徽省,淮南市,浙江省,丽水市,8
江苏省,淮安市,浙江省,丽水市,4
浙江省,温州市,浙江省,丽水市,1378
浙江省,湖州市,浙江省,丽水市,63
安徽省,滁州市,浙江省,丽水市,10
江苏省,盐城市,浙江省,丽水市,11
浙江省,绍兴市,浙江省,丽水市,93
浙江省,舟山市,浙江省,丽水市,17
安徽省,芜湖市,浙江省,丽水市,10
江苏省,苏州市,浙江省,丽水市,96
安徽省,蚌埠市,浙江省,丽水市,14
浙江省,衢州市,浙江省,丽水市,205
江苏省,连云港市,浙江省,丽水市,15
浙江省,金华市,浙江省,丽水市,1033
安徽省,铜陵市,浙江省,丽水市,2
江苏省,镇江市,浙江省,丽水市,9
安徽省,阜阳市,浙江省,丽水市,32
安徽省,马鞍山市,浙江省,丽水市,5
安徽省,黄山市,浙江省,丽水市,7
上海市,上海市,安徽省,亳州市,746
浙江省,丽水市,安徽省,亳州市,7
安徽省,六安市,安徽省,亳州市,113
江苏省,南京市,安徽省,亳州市,319
江苏省,南通市,安徽省,亳州市,81
浙江省,台州市,安徽省,亳州市,91
安徽省,合肥市,安徽省,亳州市,943
浙江省,嘉兴市,安徽省,亳州市,93
浙江省,宁波市,安徽省,亳州市,222
安徽省,安庆市,安徽省,亳州市,32
安徽省,宣城市,安徽省,亳州市,23
安徽省,宿州市,安徽省,亳州市,548
江苏省,宿迁市,安徽省,亳州市,25
江苏省,常州市,安徽省,亳州市,113
江苏省,徐州市,安徽省,亳州市,74
江苏省,扬州市,安徽省,亳州市,39
江苏省,无锡市,安徽省,亳州市,162
浙江省,杭州市,安徽省,亳州市,307
安徽省,池州市,安徽省,亳州市,24
江苏省,泰州市,安徽省,亳州市,26
安徽省,淮北市,安徽省,亳州市,1605
安徽省,淮南市,安徽省,亳州市,284
江苏省,淮安市,安徽省,亳州市,26
浙江省,温州市,安徽省,亳州市,126
浙江省,湖州市,安徽省,亳州市,74
安徽省,滁州市,安徽省,亳州市,83
江苏省,盐城市,安徽省,亳州市,16
浙江省,绍兴市,安徽省,亳州市,56
浙江省,舟山市,安徽省,亳州市,7
安徽省,芜湖市,安徽省,亳州市,76
江苏省,苏州市,安徽省,亳州市,415
安徽省,蚌埠市,安徽省,亳州市,808
浙江省,衢州市,安徽省,亳州市,9
江苏省,连云港市,安徽省,亳州市,13
浙江省,金华市,安徽省,亳州市,110
安徽省,铜陵市,安徽省,亳州市,9
江苏省,镇江市,安徽省,亳州市,41
安徽省,阜阳市,安徽省,亳州市,3743
安徽省,马鞍山市,安徽省,亳州市,65
安徽省,黄山市,安徽省,亳州市,22
上海市,上海市,安徽省,六安市,818
浙江省,丽水市,安徽省,六安市,6
安徽省,亳州市,安徽省,六安市,116
江苏省,南京市,安徽省,六安市,217
江苏省,南通市,安徽省,六安市,57
浙江省,台州市,安徽省,六安市,20
安徽省,合肥市,安徽省,六安市,3618
浙江省,嘉兴市,安徽省,六安市,77
浙江省,宁波市,安徽省,六安市,98
安徽省,安庆市,安徽省,六安市,1602
安徽省,宣城市,安徽省,六安市,35
安徽省,宿州市,安徽省,六安市,86
江苏省,宿迁市,安徽省,六安市,21
江苏省,常州市,安徽省,六安市,100
江苏省,徐州市,安徽省,六安市,47
江苏省,扬州市,安徽省,六安市,39
江苏省,无锡市,安徽省,六安市,165
浙江省,杭州市,安徽省,六安市,248
安徽省,池州市,安徽省,六安市,216
江苏省,泰州市,安徽省,六安市,25
安徽省,淮北市,安徽省,六安市,50
安徽省,淮南市,安徽省,六安市,369
江苏省,淮安市,安徽省,六安市,12
浙江省,温州市,安徽省,六安市,38
浙江省,湖州市,安徽省,六安市,44
安徽省,滁州市,安徽省,六安市,69
江苏省,盐城市,安徽省,六安市,16
浙江省,绍兴市,安徽省,六安市,35
浙江省,舟山市,安徽省,六安市,4
安徽省,芜湖市,安徽省,六安市,80
江苏省,苏州市,安徽省,六安市,562
安徽省,蚌埠市,安徽省,六安市,88
浙江省,衢州市,安徽省,六安市,10
江苏省,连云港市,安徽省,六安市,6
浙江省,金华市,安徽省,六安市,46
安徽省,铜陵市,安徽省,六安市,42
江苏省,镇江市,安徽省,六安市,29
安徽省,阜阳市,安徽省,六安市,814
安徽省,马鞍山市,安徽省,六安市,82
安徽省,黄山市,安徽省,六安市,24
上海市,上海市,江苏省,南京市,2647
浙江省,丽水市,江苏省,南京市,24
安徽省,亳州市,江苏省,南京市,269
